AYUNTAMIENTO,PROVINCIA,CCAA,RÉGIMEN DEDICACIÓN,TOTAL PERCIBIDO
Torralba del Río,Navarra,"Navarra, Comunidad Foral de",Exclusiva,"6.000,00"
Torres del Río,Navarra,"Navarra, Comunidad Foral de",Parcial,"6.549,00"
Tudela,Navarra,"Navarra, Comunidad Foral de",Exclusiva,"50.144,80"
Tulebras,Navarra,"Navarra, Comunidad Foral de",Parcial,"9.293,48"
Ucar,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"1.100,00"
Uharte-Arakil,Navarra,"Navarra, Comunidad Foral de",Parcial,"22.528,80"
Ujué,Navarra,"Navarra, Comunidad Foral de",Parcial,"12.533,86"
Ultzama,Navarra,"Navarra, Comunidad Foral de",Parcial,"11.419,00"
Unciti,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"7.202,96"
Unzué/Untzue,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"8.061,21"
Urdazubi/Urdax,Navarra,"Navarra, Comunidad Foral de",Parcial,"19.955,14"
Urdiain,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"2.353,04"
Urraul Alto,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"7.212,00"
Urraul Bajo,Navarra,"Navarra, Comunidad Foral de",Parcial,"8.412,00"
Urrotz,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"2.412,24"
Urroz-Villa,Navarra,"Navarra, Comunidad Foral de",Parcial,"10.830,19"
Urzainqui/Urzainki,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"1.561,02"
Uterga,Navarra,"Navarra, Comunidad Foral de",Parcial,"7.212,00"
Uztárroz/Uztarroze,Navarra,"Navarra, Comunidad Foral de",Parcial,"3.600,00"
Valle de Yerri/Deierri,Navarra,"Navarra, Comunidad Foral de",Parcial,"12.260,00"
Valtierra,Navarra,"Navarra, Comunidad Foral de",Exclusiva,"36.000,00"
Viana,Navarra,"Navarra, Comunidad Foral de",Exclusiva,"40.925,24"
Vidángoz/Bidankoze,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"2.341,53"
Villafranca,Navarra,"Navarra, Comunidad Foral de",Exclusiva,"42.160,02"
Villamayor de Monjardín,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"500,00"
Villatuerta,Navarra,"Navarra, Comunidad Foral de",Exclusiva,"26.999,98"
Villava/Atarrabia,Navarra,"Navarra, Comunidad Foral de",Exclusiva,"39.143,16"
Yesa,Navarra,"Navarra, Comunidad Foral de",Parcial,"9.985,48"
Zabalza/Zabaltza,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"5.913,00"
Ziordia,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"2.400,00"
Zizur Mayor/Zizur Nagusia,Navarra,"Navarra, Comunidad Foral de",Exclusiva,"42.546,00"
Zubieta,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"7.933,00"
Zugarramurdi,Navarra,"Navarra, Comunidad Foral de",Sin dedicación,"6.758,00"
Zúñiga,Navarra,"Navarra, Comunidad Foral de",Parcial,"8.000,00"
Allariz,Ourense,Galicia,Exclusiva,"43.060,08"
"Arnoia, A",Ourense,Galicia,Parcial,"24.000,00"
Avión,Ourense,Galicia,Exclusiva,"41.084,68"
Bande,Ourense,Galicia,Sin dedicación,"580,00"
Baños de Molgas,Ourense,Galicia,Sin dedicación,"15.875,59"
Barbadás,Ourense,Galicia,Sin dedicación,"10.200,00"
"Barco de Valdeorras, O",Ourense,Galicia,Sin dedicación,"0,00"
Beade,Ourense,Galicia,Sin dedicación,"7.200,00"
Beariz,Ourense,Galicia,Sin dedicación,"380,00"
"Blancos, Os",Ourense,Galicia,Parcial,"11.835,07"
Boborás,Ourense,Galicia,Exclusiva,"37.100,00"
"Bola, A",Ourense,Galicia,Exclusiva,"42.406,92"
"Bolo, O",Ourense,Galicia,Sin dedicación,"610,00"
Calvos de Randín,Ourense,Galicia,Parcial,"24.023,73"
Carballeda de Avia,Ourense,Galicia,Sin dedicación,"0,00"
Carballeda de Valdeorras,Ourense,Galicia,Exclusiva,"39.108,86"
"Carballiño, O",Ourense,Galicia,Exclusiva,"40.961,26"
Cartelle,Ourense,Galicia,Sin dedicación,"14.372,00"
Castrelo de Miño,Ourense,Galicia,Sin dedicación,"2.700,00"
Castrelo do Val,Ourense,Galicia,Sin dedicación,"7.620,00"
Castro Caldelas,Ourense,Galicia,Exclusiva,"39.999,96"
Celanova,Ourense,Galicia,Parcial,"36.535,80"
Cenlle,Ourense,Galicia,Parcial,"15.314,57"
Chandrexa de Queixa,Ourense,Galicia,Sin dedicación,"350,00"
Coles,Ourense,Galicia,Parcial,"15.400,00"
Cortegada,Ourense,Galicia,Sin dedicación,"8.420,00"
Cualedro,Ourense,Galicia,Exclusiva,"40.499,76"
Entrimo,Ourense,Galicia,Exclusiva,"33.251,96"
Esgos,Ourense,Galicia,Exclusiva,"36.694,42"
Gomesende,Ourense,Galicia,Parcial,"13.656,36"
"Gudiña, A",Ourense,Galicia,Exclusiva,"39.999,96"
Larouco,Ourense,Galicia,Sin dedicación,"0,00"
Laza,Ourense,Galicia,Sin dedicación,"1.020,00"
Leiro,Ourense,Galicia,Sin dedicación,"1.950,00"
Lobeira,Ourense,Galicia,Parcial,"18.668,44"
Maceda,Ourense,Galicia,Sin dedicación,"460,00"
Maside,Ourense,Galicia,Sin dedicación,"0,00"
Melón,Ourense,Galicia,Sin dedicación,"0,00"
"Merca, A",Ourense,Galicia,Sin dedicación,"962,00"
"Mezquita, A",Ourense,Galicia,Sin dedicación,"0,00"
Montederramo,Ourense,Galicia,Parcial,"22.197,84"
Monterrei,Ourense,Galicia,Sin dedicación,"7.200,00"
Muíños,Ourense,Galicia,Sin dedicación,"19.694,48"
Nogueira de Ramuín,Ourense,Galicia,Exclusiva,"42.077,00"
Oímbra,Ourense,Galicia,Exclusiva,"39.999,96"
Paderne de Allariz,Ourense,Galicia,Exclusiva,"36.400,00"
Padrenda,Ourense,Galicia,Exclusiva,"30.599,62"
"Pereiro de Aguiar, O",Ourense,Galicia,Exclusiva,"49.259,14"
"Peroxa, A",Ourense,Galicia,Parcial,"31.665,81"
Petín,Ourense,Galicia,Parcial,"10.806,46"
Piñor,Ourense,Galicia,Exclusiva,"28.000,00"
Pontedeva,Ourense,Galicia,Sin dedicación,"0,00"
Porqueira,Ourense,Galicia,Parcial,"7.671,01"
Punxín,Ourense,Galicia,Sin dedicación,"348,00"
Quintela de Leirado,Ourense,Galicia,Sin dedicación,"15.098,00"
Ramirás,Ourense,Galicia,Sin dedicación,"20,00"
Ribadavia,Ourense,Galicia,Exclusiva,"26.344,92"
Riós,Ourense,Galicia,Exclusiva,"38.751,24"
"Rúa, A",Ourense,Galicia,Parcial,"17.255,00"
Rubiá,Ourense,Galicia,Parcial,"7.200,00"
San Amaro,Ourense,Galicia,Sin dedicación,"490,00"
San Cibrao das Viñas,Ourense,Galicia,Sin dedicación,"10.010,00"
San Cristovo de Cea,Ourense,Galicia,Sin dedicación,"700,00"
Sandiás,Ourense,Galicia,Parcial,"12.827,64"
Taboadela,Ourense,Galicia,Parcial,"18.731,02"
Toén,Ourense,Galicia,Parcial,"18.525,22"
"Veiga, A",Ourense,Galicia,Sin dedicación,"5.400,00"
Verea,Ourense,Galicia,Sin dedicación,"10.800,00"
Verín,Ourense,Galicia,Exclusiva,"41.060,46"
Viana do Bolo,Ourense,Galicia,Sin dedicación,"3.630,95"
Vilamarín,Ourense,Galicia,Sin dedicación,"1.725,00"
Vilamartín de Valdeorras,Ourense,Galicia,Exclusiva,"30.105,60"
Vilar de Barrio,Ourense,Galicia,Exclusiva,"35.103,60"
Vilar de Santos,Ourense,Galicia,Parcial,"12.406,80"
Vilardevós,Ourense,Galicia,Exclusiva,"721,20"
Vilariño de Conso,Ourense,Galicia,Parcial,"15.610,00"
Xunqueira de Espadanedo,Ourense,Galicia,Parcial,"32.848,41"
Abarca de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Abia de las Torres,Palencia,Castilla y León,Sin dedicación,"1.440,00"
Aguilar de Campoo,Palencia,Castilla y León,Exclusiva,"47.392,63"
Alar del Rey,Palencia,Castilla y León,Parcial,"21.189,00"
Alba de Cerrato,Palencia,Castilla y León,Sin dedicación,"0,00"
Amayuelas de Arriba,Palencia,Castilla y León,Sin dedicación,"0,00"
Ampudia,Palencia,Castilla y León,Parcial,"11.200,00"
Amusco,Palencia,Castilla y León,Parcial,"13.105,00"
Antigüedad,Palencia,Castilla y León,Sin dedicación,"0,00"
Arconada,Palencia,Castilla y León,Sin dedicación,"1,00"
Astudillo,Palencia,Castilla y León,Parcial,"13.513,13"
Autilla del Pino,Palencia,Castilla y León,Sin dedicación,"0,00"
Autillo de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Ayuela,Palencia,Castilla y León,Sin dedicación,"0,00"
Baltanás,Palencia,Castilla y León,Sin dedicación,"2.770,00"
Baquerín de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Bárcena de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Báscones de Ojeda,Palencia,Castilla y León,Sin dedicación,"0,00"
Becerril de Campos,Palencia,Castilla y León,Parcial,"7.385,23"
Belmonte de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Berzosilla,Palencia,Castilla y León,Sin dedicación,"200,00"
Boada de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Boadilla de Rioseco,Palencia,Castilla y León,Sin dedicación,"0,00"
Boadilla del Camino,Palencia,Castilla y León,Sin dedicación,"0,00"
Buenavista de Valdavia,Palencia,Castilla y León,Sin dedicación,"600,00"
Bustillo de la Vega,Palencia,Castilla y León,Parcial,"10.353,03"
Bustillo del Páramo de Carrión,Palencia,Castilla y León,Sin dedicación,"0,00"
Calahorra de Boedo,Palencia,Castilla y León,Sin dedicación,"0,00"
Calzada de los Molinos,Palencia,Castilla y León,Sin dedicación,"3.450,00"
Capillas,Palencia,Castilla y León,Sin dedicación,"0,00"
Cardeñosa de Volpejera,Palencia,Castilla y León,Sin dedicación,"200,00"
Carrión de los Condes,Palencia,Castilla y León,Exclusiva,"27.730,50"
Castil de Vela,Palencia,Castilla y León,Sin dedicación,"0,00"
Castrejón de la Peña,Palencia,Castilla y León,Sin dedicación,"480,80"
Castrillo de Don Juan,Palencia,Castilla y León,Sin dedicación,"0,00"
Castrillo de Onielo,Palencia,Castilla y León,Sin dedicación,"0,00"
Castrillo de Villavega,Palencia,Castilla y León,Sin dedicación,"0,00"
Castromocho,Palencia,Castilla y León,Sin dedicación,"0,00"
Cervatos de la Cueza,Palencia,Castilla y León,Sin dedicación,"0,00"
CERVERA DE PISUERGA,Palencia,Castilla y León,Exclusiva,"16.734,90"
Cevico de la Torre,Palencia,Castilla y León,Sin dedicación,"0,00"
Cevico Navero,Palencia,Castilla y León,Sin dedicación,"0,00"
Cisneros,Palencia,Castilla y León,Sin dedicación,"0,00"
Cobos de Cerrato,Palencia,Castilla y León,Sin dedicación,"0,00"
Collazos de Boedo,Palencia,Castilla y León,Sin dedicación,"0,00"
Congosto de Valdavia,Palencia,Castilla y León,Sin dedicación,"5.200,00"
Cordovilla la Real,Palencia,Castilla y León,Sin dedicación,"0,00"
Cubillas de Cerrato,Palencia,Castilla y León,Sin dedicación,"0,00"
Dehesa de Montejo,Palencia,Castilla y León,Sin dedicación,"0,00"
Dehesa de Romanos,Palencia,Castilla y León,Sin dedicación,"0,00"
Dueñas,Palencia,Castilla y León,Sin dedicación,"4.816,56"
Espinosa de Cerrato,Palencia,Castilla y León,Sin dedicación,"0,00"
Espinosa de Villagonzalo,Palencia,Castilla y León,Parcial,"7.200,00"
Frechilla,Palencia,Castilla y León,Sin dedicación,"0,00"
Fresno del Río,Palencia,Castilla y León,Sin dedicación,"800,00"
Frómista,Palencia,Castilla y León,Parcial,"7.665,28"
Fuentes de Nava,Palencia,Castilla y León,Sin dedicación,"0,00"
Fuentes de Valdepero,Palencia,Castilla y León,Sin dedicación,"7.000,00"
Grijota,Palencia,Castilla y León,Parcial,"20.733,58"
Guardo,Palencia,Castilla y León,Exclusiva,"30.000,04"
Guaza de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Hérmedes de Cerrato,Palencia,Castilla y León,Sin dedicación,"0,00"
Herrera de Pisuerga,Palencia,Castilla y León,Sin dedicación,"9.000,00"
Herrera de Valdecañas,Palencia,Castilla y León,Sin dedicación,"0,00"
Hontoria de Cerrato,Palencia,Castilla y León,Sin dedicación,"0,00"
Hornillos de Cerrato,Palencia,Castilla y León,Sin dedicación,"500,00"
Husillos,Palencia,Castilla y León,Sin dedicación,"315,00"
Itero de la Vega,Palencia,Castilla y León,Sin dedicación,"0,00"
Lagartos,Palencia,Castilla y León,Parcial,"1.620,00"
Lantadilla,Palencia,Castilla y León,Parcial,"15.840,00"
Ledigos,Palencia,Castilla y León,Sin dedicación,"0,00"
Loma de Ucieza,Palencia,Castilla y León,Sin dedicación,"0,00"
Lomas,Palencia,Castilla y León,Sin dedicación,"0,00"
Magaz de Pisuerga,Palencia,Castilla y León,Parcial,"9.166,10"
Manquillos,Palencia,Castilla y León,Sin dedicación,"480,00"
Mantinos,Palencia,Castilla y León,Sin dedicación,"0,00"
Marcilla de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Mazariegos,Palencia,Castilla y León,Sin dedicación,"0,00"
Mazuecos de Valdeginate,Palencia,Castilla y León,Sin dedicación,"0,00"
Melgar de Yuso,Palencia,Castilla y León,Sin dedicación,"0,00"
Meneses de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Micieces de Ojeda,Palencia,Castilla y León,Sin dedicación,"0,00"
Monzón de Campos,Palencia,Castilla y León,Sin dedicación,"3.480,00"
Moratinos,Palencia,Castilla y León,Sin dedicación,"0,00"
Mudá,Palencia,Castilla y León,Sin dedicación,"0,00"
Nogal de las Huertas,Palencia,Castilla y León,Parcial,"3.599,00"
Olea de Boedo,Palencia,Castilla y León,Sin dedicación,"0,00"
Olmos de Ojeda,Palencia,Castilla y León,Sin dedicación,"750,00"
Osornillo,Palencia,Castilla y León,Sin dedicación,"0,00"
Osorno la Mayor,Palencia,Castilla y León,Parcial,"13.375,00"
PALENCIA,Palencia,Castilla y León,Exclusiva,"47.925,92"
Palenzuela,Palencia,Castilla y León,Sin dedicación,"0,00"
Páramo de Boedo,Palencia,Castilla y León,Sin dedicación,"0,00"
Paredes de Nava,Palencia,Castilla y León,Sin dedicación,"0,00"
Payo de Ojeda,Palencia,Castilla y León,Sin dedicación,"0,00"
Pedraza de Campos,Palencia,Castilla y León,Sin dedicación,"462,00"
Pedrosa de la Vega,Palencia,Castilla y León,Parcial,"5.331,38"
Perales,Palencia,Castilla y León,Sin dedicación,"0,00"
"Pernía, La",Palencia,Castilla y León,Parcial,"9.817,92"
Pino del Río,Palencia,Castilla y León,Parcial,"4.200,00"
Piña de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Población de Arroyo,Palencia,Castilla y León,Sin dedicación,"0,00"
Población de Campos,Palencia,Castilla y León,Sin dedicación,"0,00"
Población de Cerrato,Palencia,Castilla y León,Sin dedicación,"0,00"
Polentinos,Palencia,Castilla y León,Sin dedicación,"0,00"
Pomar de Valdivia,Palencia,Castilla y León,Parcial,"5.511,28"
Poza de la Vega,Palencia,Castilla y León,Sin dedicación,"0,00"
Pozo de Urama,Palencia,Castilla y León,Sin dedicación,"0,00"
Prádanos de Ojeda,Palencia,Castilla y León,Parcial,"5.389,48"
"Puebla de Valdavia, La",Palencia,Castilla y León,Sin dedicación,"0,00"
Quintana del Puente,Palencia,Castilla y León,Sin dedicación,"0,00"
Quintanilla de Onsoña,Palencia,Castilla y León,Parcial,"9.012,06"
